Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
COPII-coated ER To Golgi Transport Vesicle (GO:0030134)	2/76	0.05360252430785276	0.22702245589208228	0	0	5.582207207207207	16.33442651078147	HLA-B;HLA-F
Plasma Membrane Raft (GO:0044853)	2/82	0.06130520284617826	0.24234557203178375	0	0	5.161979166666667	14.411680929562715	CR1;CD320
Actin-Based Cell Projection (GO:0098858)	2/84	0.0639523037306096	0.24234557203178375	0	0	5.0355691056910565	13.845890081923844	KITLG;CD44
Specific Granule Membrane (GO:0035579)	2/90	0.07211828987628886	0.2596258435546399	0	0	4.690814393939394	12.334250617944921	BST1;ATP8B4
Phagocytic Vesicle (GO:0045335)	2/100	0.08642019084195456	0.2962977971724156	0	0	4.210034013605442	10.308411171595903	HLA-B;HLA-F
Endosome Membrane (GO:0010008)	4/361	0.10150839441971203	0.3322092908281485	0	0	2.329697836581441	5.329448874846546	HLA-B;ANTXR2;HLA-F;SLC15A3
Bounding Membrane Of Organelle (GO:0098588)	7/819	0.10713910643931386	0.33256681231819474	0	0	1.808450170519136	4.03940354259382	CR1;SELL;HLA-B;ANTXR2;HLA-F;SLC15A3;CD44
Early Endosome Membrane (GO:0031901)	2/116	0.11085560410606492	0.33256681231819474	0	0	3.616228070175439	7.953990513449054	HLA-B;HLA-F
Aggresome (GO:0016235)	1/35	0.15807787212422003	0.44461330556350287	0	0	6.0242571255306245	11.112751366206078	TDP2
Mitochondrial Envelope (GO:0005740)	2/146	0.1605548047868205	0.44461330556350287	0	0	2.8585069444444446	5.228552027417841	ALPL;COA7
Recycling Endosome (GO:0055037)	2/159	0.183194159505683	0.4548268787727302	0	0	2.6200902335456475	4.446839959275216	HLA-B;HLA-F
Specific Granule (GO:0042581)	2/159	0.183194159505683	0.4548268787727302	0	0	2.6200902335456475	4.446839959275216	BST1;ATP8B4
Endocytic Vesicle Membrane (GO:0030666)	2/159	0.183194159505683	0.4548268787727302	0	0	2.6200902335456475	4.446839959275216	HLA-B;HLA-F
Endoplasmic Reticulum Membrane (GO:0005789)	6/801	0.19939815716937104	0.470202677757638	0	0	1.5674323215750616	2.527408854152836	DHRS9;VPS13C;HSD17B2;HLA-B;HLA-F;SGPP2
Basement Membrane (GO:0005604)	1/46	0.2024483751456497	0.470202677757638	0	0	4.54914089347079	7.266207923932136	LAMA1
Ficolin-1-Rich Granule (GO:0101002)	2/184	0.2278347979515491	0.5086684458604094	0	0	2.2573260073260073	3.338888736907099	CR1;LILRB2
Lysosome (GO:0005764)	4/503	0.23313970435268763	0.5086684458604094	0	0	1.6546284057476655	2.409333237958758	VPS13C;PPT2;HLA-F;SLC15A3
Microvillus (GO:0005902)	1/58	0.2482156091537258	0.5256330546784782	0	0	3.589256646771568	5.001476661240363	CD44
Filopodium (GO:0030175)	1/60	0.25558654205816445	0.525771872444641	0	0	3.4672374628691247	4.729985272302349	KITLG
Caveola (GO:0005901)	1/62	0.2628859362223205	0.525771872444641	0	0	3.353219536927497	4.480018809740678	CD320
Collagen-Containing Extracellular Matrix (GO:0062023)	3/373	0.2762325322562172	0.5375335762823686	0	0	1.667027027027027	2.1446507076900203	ACHE;LAMA1;ANGPTL1
Lytic Vacuole (GO:0000323)	2/223	0.29855686565603584	0.5645415186428001	0	0	1.8552978883861238	2.242674550476082	VPS13C;PPT2
Nuclear Membrane (GO:0031965)	2/227	0.30579332259818337	0.5645415186428001	0	0	1.8219444444444444	2.158723262136209	RAP1GAP2;NLRP10
Bicellular Tight Junction (GO:0005923)	1/81	0.328790958588603	0.5831881494754946	0	0	2.554381443298969	2.841323066159758	CLDN10
Lipid Droplet (GO:0005811)	1/82	0.33209325178465665	0.5831881494754946	0	0	2.5227185948835436	2.780892280445717	VPS13C
Lysosomal Lumen (GO:0043202)	1/86	0.3451423773061049	0.5916726468104655	0	0	2.4035172832019405	2.5568575019215602	PPT2
Tight Junction (GO:0070160)	1/93	0.3673739327584958	0.6151377478746907	0	0	2.21985656656208	2.2229090009650587	CLDN10
Apical Junction Complex (GO:0043296)	1/106	0.40669736977067755	0.6586949899869246	0	0	1.943740795287187	1.7487562515727495	CLDN10
Lytic Vacuole Membrane (GO:0098852)	2/287	0.4116843687418278	0.6586949899869246	0	0	1.4339912280701754	1.2726648036852712	HLA-F;SLC15A3
Early Endosome (GO:0005769)	2/307	0.44531959287912826	0.6970219714629834	0	0	1.3385928961748634	1.082872216551753	HLA-B;HLA-F
Microtubule Cytoskeleton (GO:0015630)	2/342	0.5015409555803456	0.7683180596124444	0	0	1.1986519607843138	0.8271537690695628	RELL1;TRIM55
Lysosomal Membrane (GO:0005765)	2/356	0.5230031160579475	0.7714837839063593	0	0	1.1504237288135593	0.7456676828195377	HLA-F;SLC15A3
Mitochondrial Outer Membrane (GO:0005741)	1/151	0.5250375751584945	0.7714837839063593	0	0	1.3575257731958763	0.8746340998977857	VPS13C
Vacuolar Lumen (GO:0005775)	1/161	0.5479786011585378	0.7740982449182514	0	0	1.2720360824742267	0.7651539254360771	PPT2
Membrane Raft (GO:0045121)	1/169	0.5655388297615801	0.7740982449182514	0	0	1.2109720176730485	0.6902253758384524	CR1
Organelle Outer Membrane (GO:0031968)	1/170	0.5676858255608358	0.7740982449182514	0	0	1.2037455011285305	0.6815452193254693	VPS13C
Basolateral Plasma Membrane (GO:0016323)	1/171	0.5698223191759351	0.7740982449182514	0	0	1.1966040024257125	0.6730068117406004	CD44
Microtubule (GO:0005874)	1/185	0.5986585325216566	0.7982113766955421	0	0	1.1047736441057823	0.5668194810712311	TRIM55
Golgi Membrane (GO:0000139)	2/427	0.6221285754557677	0.8144228624148232	0	0	0.9547549019607843	0.4531347867828877	HLA-B;HLA-F
Late Endosome (GO:0005770)	1/205	0.636563397828984	0.8184386543515508	0	0	0.9954517889630079	0.4496169659091438	VPS13C
Vesicle (GO:0031982)	1/235	0.686874270260719	0.8232373338042849	0	0	0.8665080623843511	0.3254639083268844	CYB561D2
trans-Golgi Network (GO:0005802)	1/241	0.6960760216972337	0.8232373338042849	0	0	0.8445876288659794	0.3059910557639275	ATP8B4
Intracellular Non-Membrane-Bounded Organelle (GO:0043232)	5/1195	0.7037928876301709	0.8232373338042849	0	0	0.8453962230053311	0.2969633117580463	RPS6KA3;CR1;TCIM;VPS13C;N4BP1
Polymeric Cytoskeletal Fiber (GO:0099513)	1/265	0.7302817285356564	0.8232373338042849	0	0	0.7668697282099344	0.2410462428032093	TRIM55
Nucleolus (GO:0005730)	3/771	0.7339119246027759	0.8232373338042849	0	0	0.7867598684210526	0.24339695116405338	RPS6KA3;TCIM;N4BP1
Dendrite (GO:0030425)	1/270	0.7369130081359324	0.8232373338042849	0	0	0.7524240217682904	0.2297040901649857	RELN
Nuclear Lumen (GO:0031981)	3/780	0.7411244292951272	0.8232373338042849	0	0	0.7772810404389352	0.23286309841532904	RPS6KA3;TCIM;N4BP1
Intracellular Membrane-Bounded Organelle (GO:0043231)	23/5175	0.7421235957732466	0.8232373338042849	0	0	0.8779761904761905	0.26184716123853424	AMER1;EHF;SP100;GADD45B;HSPA7;SPDYC;STARD9;PRSS23;ADRA2B;ZNRF1;SLFN11;DHRS9;TCIM;TDP2;BCL3;HSD17B2;MT1G;PPT2;SLC15A3;UMPS;LURAP1;N4BP1;SPDEF
Mitochondrial Membrane (GO:0031966)	2/540	0.7463407466845026	0.8232373338042849	0	0	0.7498451053283767	0.21938444555177997	VPS13C;ALPL
Endoplasmic Reticulum Lumen (GO:0005788)	1/284	0.7546342226539279	0.8232373338042849	0	0	0.7146916323631197	0.20120150379950116	PRSS23
Cytoskeleton (GO:0005856)	2/599	0.7962439784464577	0.8556651708678351	0	0	0.6736809045226131	0.1534979478752073	CR1;RELL1
Focal Adhesion (GO:0005925)	1/387	0.8533318861700804	0.8964460710230266	0	0	0.5212328401260616	0.08267103429387257	CD44
Cell-Substrate Junction (GO:0030055)	1/395	0.8590941513970672	0.8964460710230266	0	0	0.5104401067559788	0.07752398815220901	CD44
Neuron Projection (GO:0043005)	1/557	0.937639962854445	0.9644296760788575	0	0	0.35871096936883484	0.0230971261841364	RELN
Nucleus (GO:0005634)	15/4487	0.9699693686359036	0.9836309090392261	0	0	0.6235586352565898	0.019012793348288294	EHF;SP100;GADD45B;HSPA7;SPDYC;STARD9;PRSS23;SLFN11;TCIM;TDP2;BCL3;MT1G;UMPS;N4BP1;SPDEF
Intracellular Organelle Lumen (GO:0070013)	1/856	0.9863948590840245	0.9863948590840245	0	0	0.2296617833242901	0.0031460308823548027	PRSS23
