Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Regulation Of p38MAPK Cascade (GO:1900744)	2/37	0.014158279629955604	0.24718671830537398	0	0	11.825595238095238	50.34694777140265	GADD45B;RELL1
Negative Regulation Of Lymphocyte Proliferation (GO:0050672)	2/39	0.01565333872073463	0.24718671830537398	0	0	11.185247747747749	46.49786957643177	CR1;LILRB2
Response To Lipid (GO:0033993)	3/110	0.016876539828796677	0.24718671830537398	0	0	5.842105263157895	23.84648518406632	RPS6KA3;HSD17B2;ALPL
Positive Regulation Of Response To Biotic Stimulus (GO:0002833)	2/41	0.01721302610437863	0.24718671830537398	0	0	10.610576923076923	43.10110621282299	NLRP10;BMP6
Regulation Of Interleukin-6 Production (GO:0032675)	3/114	0.01854315120286132	0.24718671830537398	0	0	5.630440967283072	22.45225475502712	NLRP10;HLA-B;LILRB2
Positive Regulation Of T Cell Mediated Immunity (GO:0002711)	2/43	0.01883596225512661	0.24718671830537398	0	0	10.091971544715447	40.08518331692982	HLA-B;HLA-F
Regulation Of B Cell Proliferation (GO:0030888)	2/44	0.019670723080957027	0.24718671830537398	0	0	9.851190476190476	38.70162221679064	BST1;CD320
Heterophilic Cell-Cell Adhesion Via Plasma Membrane Cell Adhesion Molecules (GO:0007157)	2/49	0.02407077124651168	0.24718671830537398	0	0	8.800975177304965	32.79909572461701	SELL;CD209
Negative Regulation Of T Cell Activation (GO:0050868)	2/49	0.02407077124651168	0.24718671830537398	0	0	8.800975177304965	32.79909572461701	CR1;LILRB2
Negative Regulation Of Cysteine-Type Endopeptidase Activity Involved In Apoptotic Process (GO:0043154)	2/49	0.02407077124651168	0.24718671830537398	0	0	8.800975177304965	32.79909572461701	RPS6KA3;CD44
Negative Regulation Of Lens Fiber Cell Differentiation (GO:1902747)	1/5	0.024263309113639643	0.24718671830537398	0	0	51.28350515463917	190.71258524794393	SPRY1
Regulation Of Epinephrine Secretion (GO:0014060)	1/5	0.024263309113639643	0.24718671830537398	0	0	51.28350515463917	190.71258524794393	ADRA2B
Regulation Of Morphogenesis Of A Branching Structure (GO:0060688)	1/5	0.024263309113639643	0.24718671830537398	0	0	51.28350515463917	190.71258524794393	GDNF
Positive Regulation Of Toll-Like Receptor 7 Signaling Pathway (GO:0034157)	1/5	0.024263309113639643	0.24718671830537398	0	0	51.28350515463917	190.71258524794393	TREML4
Protection From Natural Killer Cell Mediated Cytotoxicity (GO:0042270)	1/5	0.024263309113639643	0.24718671830537398	0	0	51.28350515463917	190.71258524794393	HLA-B
Regulation Of Serine-Type Endopeptidase Activity (GO:1900003)	1/5	0.024263309113639643	0.24718671830537398	0	0	51.28350515463917	190.71258524794393	CR1
Regulation Of Superoxide Metabolic Process (GO:0090322)	1/5	0.024263309113639643	0.24718671830537398	0	0	51.28350515463917	190.71258524794393	BST1
Cellular Response To Iron Ion (GO:0071281)	1/5	0.024263309113639643	0.24718671830537398	0	0	51.28350515463917	190.71258524794393	BMP6
Regulation Of Type B Pancreatic Cell Proliferation (GO:0061469)	1/5	0.024263309113639643	0.24718671830537398	0	0	51.28350515463917	190.71258524794393	SGPP2
Cerebral Cortex Cell Migration (GO:0021795)	1/5	0.024263309113639643	0.24718671830537398	0	0	51.28350515463917	190.71258524794393	RELN
Positive Regulation Of Animal Organ Morphogenesis (GO:0110110)	1/5	0.024263309113639643	0.24718671830537398	0	0	51.28350515463917	190.71258524794393	GDNF
Positive Regulation Of Leukocyte Mediated Cytotoxicity (GO:0001912)	2/51	0.025933309647663022	0.24718671830537398	0	0	8.440901360544217	30.828088273635288	HLA-B;HLA-F
Positive Regulation Of Peptidyl-Tyrosine Phosphorylation (GO:0050731)	3/130	0.02609445277400157	0.24718671830537398	0	0	4.917115623704932	17.927963491430592	RELN;BMP6;CD44
Positive Regulation Of B Cell Activation (GO:0050871)	2/52	0.02688590215423031	0.24718671830537398	0	0	8.271666666666667	29.91161399551651	BST1;CD320
Epithelial Cell Differentiation (GO:0030855)	3/132	0.027138007043404817	0.24718671830537398	0	0	4.840391676866585	17.45842179701495	EHF;DHRS9;TDRD7
mRNA Stabilization (GO:0048255)	2/53	0.0278524987743966	0.24718671830537398	0	0	8.10906862745098	29.037217248436296	DAZL;GDNF
Negative Regulation Of Cysteine-Type Endopeptidase Activity (GO:2000117)	2/53	0.0278524987743966	0.24718671830537398	0	0	8.10906862745098	29.037217248436296	RPS6KA3;CD44
Glandular Epithelial Cell Development (GO:0002068)	1/6	0.02904559756492306	0.24718671830537398	0	0	41.02474226804124	145.18198263769264	BMP6
Type B Pancreatic Cell Development (GO:0003323)	1/6	0.02904559756492306	0.24718671830537398	0	0	41.02474226804124	145.18198263769264	BMP6
Positive Regulation Of Natural Killer Cell Cytokine Production (GO:0002729)	1/6	0.02904559756492306	0.24718671830537398	0	0	41.02474226804124	145.18198263769264	HLA-F
Regulation Of Lens Fiber Cell Differentiation (GO:1902746)	1/6	0.02904559756492306	0.24718671830537398	0	0	41.02474226804124	145.18198263769264	SPRY1
Regulation Of Natural Killer Cell Cytokine Production (GO:0002727)	1/6	0.02904559756492306	0.24718671830537398	0	0	41.02474226804124	145.18198263769264	HLA-F
Regulation Of Norepinephrine Secretion (GO:0014061)	1/6	0.02904559756492306	0.24718671830537398	0	0	41.02474226804124	145.18198263769264	ADRA2B
Regulation Of Nucleotide-Binding Oligomerization Domain Containing 2 Signaling Pathway (GO:0070432)	1/6	0.02904559756492306	0.24718671830537398	0	0	41.02474226804124	145.18198263769264	SLC15A3
Nucleobase Biosynthetic Process (GO:0046112)	1/6	0.02904559756492306	0.24718671830537398	0	0	41.02474226804124	145.18198263769264	UMPS
Peptide Transport (GO:0015833)	1/6	0.02904559756492306	0.24718671830537398	0	0	41.02474226804124	145.18198263769264	CD209
Regulation Of Toll-Like Receptor 7 Signaling Pathway (GO:0034155)	1/6	0.02904559756492306	0.24718671830537398	0	0	41.02474226804124	145.18198263769264	TREML4
Pyrimidine Ribonucleotide Biosynthetic Process (GO:0009220)	1/6	0.02904559756492306	0.24718671830537398	0	0	41.02474226804124	145.18198263769264	UMPS
Positive Regulation Of Blood Circulation (GO:1903524)	1/6	0.02904559756492306	0.24718671830537398	0	0	41.02474226804124	145.18198263769264	APLN
Positive Regulation Of Catecholamine Secretion (GO:0033605)	1/6	0.02904559756492306	0.24718671830537398	0	0	41.02474226804124	145.18198263769264	GDNF
Regulation Of Aldosterone Biosynthetic Process (GO:0032347)	1/6	0.02904559756492306	0.24718671830537398	0	0	41.02474226804124	145.18198263769264	BMP6
Negative Regulation Of Catecholamine Secretion (GO:0033604)	1/6	0.02904559756492306	0.24718671830537398	0	0	41.02474226804124	145.18198263769264	ADRA2B
Enteric Nervous System Development (GO:0048484)	1/6	0.02904559756492306	0.24718671830537398	0	0	41.02474226804124	145.18198263769264	GDNF
Estrogen Biosynthetic Process (GO:0006703)	1/7	0.033804686617199584	0.24718671830537398	0	0	34.18556701030928	115.79184255951503	HSD17B2
Regulation Of Dopamine Uptake Involved In Synaptic Transmission (GO:0051584)	1/7	0.033804686617199584	0.24718671830537398	0	0	34.18556701030928	115.79184255951503	GDNF
Leukocyte Aggregation (GO:0070486)	1/7	0.033804686617199584	0.24718671830537398	0	0	34.18556701030928	115.79184255951503	CD44
Coronary Vasculature Development (GO:0060976)	1/7	0.033804686617199584	0.24718671830537398	0	0	34.18556701030928	115.79184255951503	APLN
Negative Regulation Of DNA-templated DNA Replication (GO:2000104)	1/7	0.033804686617199584	0.24718671830537398	0	0	34.18556701030928	115.79184255951503	SLFN11
Positive Regulation Of Epithelial Tube Formation (GO:1905278)	1/7	0.033804686617199584	0.24718671830537398	0	0	34.18556701030928	115.79184255951503	GDNF
DNA Damage Response, Signal Transduction By P53 Class Mediator Resulting In Transcription Of P21 Class Mediator (GO:0006978)	1/8	0.03854068730993136	0.24718671830537398	0	0	29.30044182621502	95.40343353076332	SP100
Regulation Of Defense Response To Bacterium (GO:1900424)	1/8	0.03854068730993136	0.24718671830537398	0	0	29.30044182621502	95.40343353076332	NLRP10
Negative Regulation Of Leukocyte Degranulation (GO:0043301)	1/8	0.03854068730993136	0.24718671830537398	0	0	29.30044182621502	95.40343353076332	HLA-F
Type B Pancreatic Cell Differentiation (GO:0003309)	1/8	0.03854068730993136	0.24718671830537398	0	0	29.30044182621502	95.40343353076332	BMP6
Negative Regulation Of Production Of Molecular Mediator Of Immune Response (GO:0002701)	1/8	0.03854068730993136	0.24718671830537398	0	0	29.30044182621502	95.40343353076332	CR1
Immune Response-Inhibiting Cell Surface Receptor Signaling Pathway (GO:0002767)	1/8	0.03854068730993136	0.24718671830537398	0	0	29.30044182621502	95.40343353076332	LILRB2
Positive Regulation Of Synapse Maturation (GO:0090129)	1/8	0.03854068730993136	0.24718671830537398	0	0	29.30044182621502	95.40343353076332	RELN
Monocyte Activation (GO:0042117)	1/8	0.03854068730993136	0.24718671830537398	0	0	29.30044182621502	95.40343353076332	MT1G
Cobalamin Transport (GO:0015889)	1/8	0.03854068730993136	0.24718671830537398	0	0	29.30044182621502	95.40343353076332	CD320
Commissural Neuron Axon Guidance (GO:0071679)	1/8	0.03854068730993136	0.24718671830537398	0	0	29.30044182621502	95.40343353076332	GDNF
Regulation Of T-helper 1 Type Immune Response (GO:0002825)	1/8	0.03854068730993136	0.24718671830537398	0	0	29.30044182621502	95.40343353076332	NLRP10
Negative Regulation Of T Cell Cytokine Production (GO:0002725)	1/8	0.03854068730993136	0.24718671830537398	0	0	29.30044182621502	95.40343353076332	HLA-F
Positive Regulation Of Dendritic Spine Morphogenesis (GO:0061003)	1/8	0.03854068730993136	0.24718671830537398	0	0	29.30044182621502	95.40343353076332	RELN
Positive Regulation Of T Cell Differentiation (GO:0045582)	2/64	0.03936523598878644	0.24718671830537398	0	0	6.666666666666667	21.565814583167732	CR1;LILRB2
Negative Regulation Of Programmed Cell Death (GO:0043069)	5/381	0.03943694359805814	0.24718671830537398	0	0	2.791981239990849	9.026621222173164	RPS6KA3;GDNF;TCIM;BCL3;CD44
Positive Regulation Of T Cell Proliferation (GO:0042102)	2/65	0.040487959756471674	0.24718671830537398	0	0	6.560515873015873	21.037938468178	CD209;LILRB2
Cellular Response To Growth Factor Stimulus (GO:0071363)	3/155	0.040715000133269195	0.24718671830537398	0	0	4.103185595567867	13.134948270207541	MT1G;BMP6;CD44
Positive Regulation Of Multicellular Organismal Process (GO:0051240)	5/387	0.041710067475872574	0.24718671830537398	0	0	2.7472836795586333	8.728155286165714	ACHE;GDNF;ALPL;LILRB2;LURAP1
Regulation Of Complement Activation (GO:0030449)	1/9	0.043253710264252496	0.24718671830537398	0	0	25.63659793814433	80.51615205757753	CR1
Regulation Of Complement-Dependent Cytotoxicity (GO:1903659)	1/9	0.043253710264252496	0.24718671830537398	0	0	25.63659793814433	80.51615205757753	CR1
DNA Damage Response, Signal Transduction Resulting In Transcription (GO:0042772)	1/9	0.043253710264252496	0.24718671830537398	0	0	25.63659793814433	80.51615205757753	SP100
Toxin Transport (GO:1901998)	1/9	0.043253710264252496	0.24718671830537398	0	0	25.63659793814433	80.51615205757753	ANTXR2
Type II Interferon-Mediated Signaling Pathway (GO:0060333)	1/9	0.043253710264252496	0.24718671830537398	0	0	25.63659793814433	80.51615205757753	SP100
Positive Regulation Of Protein Kinase A Signaling (GO:0010739)	1/9	0.043253710264252496	0.24718671830537398	0	0	25.63659793814433	80.51615205757753	TCIM
Regulation Of Long-Term Synaptic Depression (GO:1900452)	1/9	0.043253710264252496	0.24718671830537398	0	0	25.63659793814433	80.51615205757753	LILRB2
Response To Type I Interferon (GO:0034340)	1/9	0.043253710264252496	0.24718671830537398	0	0	25.63659793814433	80.51615205757753	SP100
Regulation Of Cellular Extravasation (GO:0002691)	1/9	0.043253710264252496	0.24718671830537398	0	0	25.63659793814433	80.51615205757753	BST1
Positive Regulation Of Protein Transport (GO:0051222)	2/70	0.046279519473212044	0.24718671830537398	0	0	6.076593137254902	18.673709540062116	ACHE;BMP6
Negative Regulation Of Cellular Response To Growth Factor Stimulus (GO:0090288)	2/71	0.04747243792056005	0.24718671830537398	0	0	5.988224637681159	18.249749279204252	SPRY1;APLN
Negative Regulation Of Natural Killer Cell Mediated Immunity (GO:0002716)	1/10	0.04794386563583509	0.24718671830537398	0	0	22.786941580756015	69.220448859451	HLA-F
Regulation Of Lamellipodium Morphogenesis (GO:2000392)	1/10	0.04794386563583509	0.24718671830537398	0	0	22.786941580756015	69.220448859451	CD44
Lens Fiber Cell Differentiation (GO:0070306)	1/10	0.04794386563583509	0.24718671830537398	0	0	22.786941580756015	69.220448859451	TDRD7
Regulation Of Opsonization (GO:1903027)	1/10	0.04794386563583509	0.24718671830537398	0	0	22.786941580756015	69.220448859451	C4BPB
Oxygen Transport (GO:0015671)	1/10	0.04794386563583509	0.24718671830537398	0	0	22.786941580756015	69.220448859451	HBZ
Regulation Of Synapse Maturation (GO:0090128)	1/10	0.04794386563583509	0.24718671830537398	0	0	22.786941580756015	69.220448859451	RELN
Monocyte Differentiation (GO:0030224)	1/10	0.04794386563583509	0.24718671830537398	0	0	22.786941580756015	69.220448859451	MT1G
Diol Metabolic Process (GO:0034311)	1/10	0.04794386563583509	0.24718671830537398	0	0	22.786941580756015	69.220448859451	SGPP2
Positive Regulation Of Defense Response To Bacterium (GO:1900426)	1/10	0.04794386563583509	0.24718671830537398	0	0	22.786941580756015	69.220448859451	NLRP10
Regulation Of Cytokine Production (GO:0001817)	3/167	0.048927616535007906	0.24718671830537398	0	0	3.8006418485237483	11.468107211337625	HLA-B;LURAP1;N4BP1
Positive Regulation Of Secretion By Cell (GO:1903532)	2/73	0.04989177856548082	0.24718671830537398	0	0	5.818955399061033	17.444640851232034	ACHE;BMP6
Cell-Cell Adhesion Via Plasma-Membrane Adhesion Molecules (GO:0098742)	3/172	0.05257136006728224	0.24718671830537398	0	0	3.6872625350358144	10.861140763506652	CLDN10;SELL;CD209
Sphingoid Metabolic Process (GO:0046519)	1/11	0.052611263106800116	0.24718671830537398	0	0	20.507216494845363	60.390164935250596	SGPP2
Negative Regulation Of Nitrogen Compound Metabolic Process (GO:0051172)	1/11	0.052611263106800116	0.24718671830537398	0	0	20.507216494845363	60.390164935250596	LILRB2
Positive Regulation Of Vascular Permeability (GO:0043117)	1/11	0.052611263106800116	0.24718671830537398	0	0	20.507216494845363	60.390164935250596	BMP6
Carbon Dioxide Transport (GO:0015670)	1/11	0.052611263106800116	0.24718671830537398	0	0	20.507216494845363	60.390164935250596	HBZ
Phasic Smooth Muscle Contraction (GO:0014821)	1/11	0.052611263106800116	0.24718671830537398	0	0	20.507216494845363	60.390164935250596	GDNF
Pyrimidine Nucleobase Metabolic Process (GO:0006206)	1/11	0.052611263106800116	0.24718671830537398	0	0	20.507216494845363	60.390164935250596	UMPS
Complement Receptor Mediated Signaling Pathway (GO:0002430)	1/11	0.052611263106800116	0.24718671830537398	0	0	20.507216494845363	60.390164935250596	CR1
Positive Regulation Of Branching Involved In Ureteric Bud Morphogenesis (GO:0090190)	1/11	0.052611263106800116	0.24718671830537398	0	0	20.507216494845363	60.390164935250596	GDNF
Positive Regulation Of Interleukin-6 Production (GO:0032755)	2/76	0.05360252430785276	0.24718671830537398	0	0	5.582207207207207	16.33442651078147	NLRP10;LILRB2
Positive Regulation Of Protein Secretion (GO:0050714)	2/76	0.05360252430785276	0.24718671830537398	0	0	5.582207207207207	16.33442651078147	ACHE;BMP6
Monoatomic Cation Homeostasis (GO:0055080)	2/77	0.05486070282485474	0.24718671830537398	0	0	5.5075	15.988041087575526	ALPL;BMP6
Embryonic Organ Development (GO:0048568)	2/77	0.05486070282485474	0.24718671830537398	0	0	5.5075	15.988041087575526	KITLG;GDNF
Negative Regulation Of Cytokine Production (GO:0001818)	3/178	0.05711235888593008	0.24718671830537398	0	0	3.5597593984962406	10.190646906456513	CR1;BCL3;N4BP1
Spinal Cord Development (GO:0021510)	1/12	0.05725601186319688	0.24718671830537398	0	0	18.64198687910028	53.32023276493544	RELN
Positive Regulation Of Integrin-Mediated Signaling Pathway (GO:2001046)	1/12	0.05725601186319688	0.24718671830537398	0	0	18.64198687910028	53.32023276493544	LAMA1
Negative Regulation Of Intrinsic Apoptotic Signaling Pathway In Response To DNA Damage By P53 Class Mediator (GO:1902166)	1/12	0.05725601186319688	0.24718671830537398	0	0	18.64198687910028	53.32023276493544	CD44
Adult Locomotory Behavior (GO:0008344)	1/12	0.05725601186319688	0.24718671830537398	0	0	18.64198687910028	53.32023276493544	GDNF
Regulation Of Monooxygenase Activity (GO:0032768)	1/12	0.05725601186319688	0.24718671830537398	0	0	18.64198687910028	53.32023276493544	GDNF
Positive Regulation Of Vascular Endothelial Cell Proliferation (GO:1905564)	1/12	0.05725601186319688	0.24718671830537398	0	0	18.64198687910028	53.32023276493544	APLN
Positive Regulation Of Viral Entry Into Host Cell (GO:0046598)	1/12	0.05725601186319688	0.24718671830537398	0	0	18.64198687910028	53.32023276493544	TMPRSS2
Positive Regulation By Symbiont Of Entry Into Host (GO:0075294)	1/12	0.05725601186319688	0.24718671830537398	0	0	18.64198687910028	53.32023276493544	TMPRSS2
Positive Regulation Of T-helper 1 Type Immune Response (GO:0002827)	1/12	0.05725601186319688	0.24718671830537398	0	0	18.64198687910028	53.32023276493544	NLRP10
Positive Regulation Of Alcohol Biosynthetic Process (GO:1902932)	1/12	0.05725601186319688	0.24718671830537398	0	0	18.64198687910028	53.32023276493544	BMP6
Response To Iron Ion (GO:0010039)	1/12	0.05725601186319688	0.24718671830537398	0	0	18.64198687910028	53.32023276493544	BMP6
Detection Of Bacterium (GO:0016045)	1/12	0.05725601186319688	0.24718671830537398	0	0	18.64198687910028	53.32023276493544	HLA-B
Positive Regulation Of Catabolic Process (GO:0009896)	2/79	0.05740816797169807	0.24718671830537398	0	0	5.363906926406926	15.327732470853563	AMER1;C4BPB
Regulation Of Apoptotic Process (GO:0042981)	7/705	0.05797745235707496	0.24718671830537398	0	0	2.1163764602160016	6.02680756632955	RPS6KA3;GADD45B;GDNF;TCIM;BCL3;CD44;SPDEF
Regulation Of Interleukin-8 Production (GO:0032677)	2/81	0.05999624978309184	0.24718671830537398	0	0	5.227584388185654	14.707668693623397	NLRP10;BCL3
ATP Transport (GO:0015867)	1/13	0.06187822059551735	0.24718671830537398	0	0	17.087628865979383	47.54781410425205	CR1
Negative Regulation Of Fibroblast Growth Factor Receptor Signaling Pathway (GO:0040037)	1/13	0.06187822059551735	0.24718671830537398	0	0	17.087628865979383	47.54781410425205	SPRY1
Positive Regulation Of Leukocyte Degranulation (GO:0043302)	1/13	0.06187822059551735	0.24718671830537398	0	0	17.087628865979383	47.54781410425205	HLA-F
Regulation Of Immune Effector Process (GO:0002697)	1/13	0.06187822059551735	0.24718671830537398	0	0	17.087628865979383	47.54781410425205	C4BPB
Regulation Of Intrinsic Apoptotic Signaling Pathway In Response To DNA Damage By P53 Class Mediator (GO:1902165)	1/13	0.06187822059551735	0.24718671830537398	0	0	17.087628865979383	47.54781410425205	CD44
Regulation Of Lamellipodium Organization (GO:1902743)	1/13	0.06187822059551735	0.24718671830537398	0	0	17.087628865979383	47.54781410425205	CD44
Regulation Of Leukocyte Migration (GO:0002685)	1/13	0.06187822059551735	0.24718671830537398	0	0	17.087628865979383	47.54781410425205	BST1
acyl-CoA Biosynthetic Process (GO:0071616)	1/13	0.06187822059551735	0.24718671830537398	0	0	17.087628865979383	47.54781410425205	PPT2
Immune Response-Regulating Cell Surface Receptor Signaling Pathway (GO:0002768)	1/13	0.06187822059551735	0.24718671830537398	0	0	17.087628865979383	47.54781410425205	LILRB2
Positive Regulation Of T-helper 17 Type Immune Response (GO:2000318)	1/13	0.06187822059551735	0.24718671830537398	0	0	17.087628865979383	47.54781410425205	NLRP10
Negative Regulation Of DNA Damage Response, Signal Transduction By P53 Class Mediator (GO:0043518)	1/13	0.06187822059551735	0.24718671830537398	0	0	17.087628865979383	47.54781410425205	CD44
Regulation Of T-helper 17 Type Immune Response (GO:2000316)	1/13	0.06187822059551735	0.24718671830537398	0	0	17.087628865979383	47.54781410425205	NLRP10
Embryonic Hemopoiesis (GO:0035162)	1/13	0.06187822059551735	0.24718671830537398	0	0	17.087628865979383	47.54781410425205	KITLG
Regulation Of NIK/NF-kappaB Signaling (GO:1901222)	2/83	0.06262392914688636	0.24718671830537398	0	0	5.097993827160494	14.12454155963278	TCIM;BCL3
Regulation Of Cysteine-Type Endopeptidase Activity Involved In Apoptotic Process (GO:0043281)	2/84	0.0639523037306096	0.24718671830537398	0	0	5.0355691056910565	13.845890081923844	RPS6KA3;CD44
Positive Regulation Of Heterotypic Cell-Cell Adhesion (GO:0034116)	1/14	0.0664779974990266	0.24718671830537398	0	0	15.772402854877082	42.75715849568251	CD44
Negative Regulation Of Leukocyte Mediated Cytotoxicity (GO:0001911)	1/14	0.0664779974990266	0.24718671830537398	0	0	15.772402854877082	42.75715849568251	HLA-F
Positive Regulation Of Long-Term Synaptic Potentiation (GO:1900273)	1/14	0.0664779974990266	0.24718671830537398	0	0	15.772402854877082	42.75715849568251	RELN
Negative Regulation Of Nucleocytoplasmic Transport (GO:0046823)	1/14	0.0664779974990266	0.24718671830537398	0	0	15.772402854877082	42.75715849568251	SP100
Negative Regulation Of Receptor Signaling Pathway Via STAT (GO:1904893)	1/14	0.0664779974990266	0.24718671830537398	0	0	15.772402854877082	42.75715849568251	BCL3
Hyaluronan Metabolic Process (GO:0030212)	1/14	0.0664779974990266	0.24718671830537398	0	0	15.772402854877082	42.75715849568251	CD44
Positive Regulation Of Adaptive Immune Response Based On Somatic Recombination Of Immune Receptors Built From Immunoglobulin Superfamily Domains (GO:0002824)	1/14	0.0664779974990266	0.24718671830537398	0	0	15.772402854877082	42.75715849568251	NLRP10
Negative Regulation Of T Cell Mediated Immunity (GO:0002710)	1/14	0.0664779974990266	0.24718671830537398	0	0	15.772402854877082	42.75715849568251	HLA-F
